Song,Artist,Week,Rank
 In My Blood,Shawn Mendes,2018-06-02,20
 Heaven,Kane Brown,2018-06-02,21
 Freaky Friday,"Lil Dicky, ft. Chris Brown",2018-06-02,22
 Rockstar,"Post Malone, feat. 21 Savage",2018-06-02,23
 Havana,"Camila Cabello, ft. Young Thug",2018-06-02,24
 Pray For Me,"The Weeknd, & Kendrick Lamar",2018-06-02,25
 Plug Walk,Rich The Kid,2018-06-02,26
 Wait,Maroon 5,2018-06-02,27
 Chun-Li,Nicki Minaj,2018-06-02,28
 Better Now,Post Malone,2018-06-02,29
 Call Out My Name,The Weeknd,2018-06-02,30
 New Rules,Dua Lipa,2018-06-02,31
 Sad!,XXXTentacion,2018-06-02,32
 All The Stars,"Kendrick Lamar, & SZA",2018-06-02,33
 Delicate,Taylor Swift,2018-06-02,34
 Lucid Dreams,Juice WRLD,2018-06-02,35
 Love Lies,"Khalid, & Normani",2018-06-02,36
 Finesse,"Bruno Mars, & Cardi B",2018-06-02,37
 One Number Away,Luke Combs,2018-06-02,38
 You Make It Easy,Jason Aldean,2018-06-02,39
 Te Bote,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",2018-06-02,40
 Powerglide,"Rae Sremmurd, & Juicy J",2018-06-02,41
 Overdose,YoungBoy Never Broke Again,2018-06-02,42
 One Kiss,"Calvin Harris, & Dua Lipa",2018-06-02,43
 Tequila,Dan + Shay,2018-06-02,44
 Ric Flair Drip,"Offset, & Metro Boomin",2018-06-02,45
 Back To You,Selena Gomez,2018-06-02,46
 Dura,Daddy Yankee,2018-06-02,47
 X,"Nicky Jam, x J Balvin",2018-06-02,48
 KOD,J. Cole,2018-06-02,49
 Ball For Me,"Post Malone, feat. Nicki Minaj",2018-06-02,50
 Nice For What,Drake,2018-06-09,1
 Psycho,"Post Malone, feat. Ty Dolla $ign",2018-06-09,2
 God's Plan,Drake,2018-06-09,3
 This Is America,Childish Gambino,2018-06-09,4
The Middle,"Zedd, Maren Morris & Grey",2018-06-09,5
 Yes Indeed,"Lil Baby, & Drake",2018-06-09,6
 I Like It,"Cardi B, Bad Bunny & J. Balvin",2018-06-09,7
 Boo'd Up,Ella Mai,2018-06-09,8
 Meant To Be,"Bebe Rexha, & Florida Georgia Line",2018-06-09,9
 No Tears Left To Cry,Ariana Grande,2018-06-09,10
 In My Blood,Shawn Mendes,2018-06-09,11
 Look Alive,"BlocBoy JB, ft. Drake",2018-06-09,12
 Friends,"Marshmello, & Anne-Marie",2018-06-09,13
 Walk It Talk It,"Migos, ft. Drake",2018-06-09,14
 Lucid Dreams,Juice WRLD,2018-06-09,15
 Never Be The Same,Camila Cabello,2018-06-09,16
 Perfect,Ed Sheeran,2018-06-09,17
 Whatever It Takes,Imagine Dragons,2018-06-09,18
 I'm Upset,Drake,2018-06-09,19
 Mine,Bazzi,2018-06-09,20
 Be Careful,Cardi B,2018-06-09,21
 Heaven,Kane Brown,2018-06-09,22
 Rockstar,"Post Malone, feat. 21 Savage",2018-06-09,23
 Wait,Maroon 5,2018-06-09,24
 Havana,"Camila Cabello, ft. Young Thug",2018-06-09,25
 Freaky Friday,"Lil Dicky, ft. Chris Brown",2018-06-09,26
 Plug Walk,Rich The Kid,2018-06-09,27
 Delicate,Taylor Swift,2018-06-09,28
 Pray For Me,"The Weeknd, & Kendrick Lamar",2018-06-09,29
 Better Now,Post Malone,2018-06-09,30
 New Rules,Dua Lipa,2018-06-09,31
 One Kiss,"Calvin Harris, & Dua Lipa",2018-06-09,32
 Chun-Li,Nicki Minaj,2018-06-09,33
 One Number Away,Luke Combs,2018-06-09,34
 Love Lies,"Khalid, & Normani",2018-06-09,35
 Te Bote,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",2018-06-09,36
 Tequila,Dan + Shay,2018-06-09,37
 Back To You,Selena Gomez,2018-06-09,38
 Finesse,"Bruno Mars, & Cardi B",2018-06-09,39
 Call Out My Name,The Weeknd,2018-06-09,40
 All The Stars,"Kendrick Lamar, & SZA",2018-06-09,41
 You Make It Easy,Jason Aldean,2018-06-09,42
 Sad!,XXXTentacion,2018-06-09,43
 Ric Flair Drip,"Offset, & Metro Boomin",2018-06-09,44
 Praise The Lord (Da Shine),"A$AP Rocky, ft. Skepta",2018-06-09,45
 TATI,"6ix9ine, feat. DJ Spinking",2018-06-09,46
 All Girls Are The Same,Juice WRLD,2018-06-09,47
 X,"Nicky Jam, x J Balvin",2018-06-09,48
 IDGAF,Dua Lipa,2018-06-09,49
 Powerglide,"Rae Sremmurd, & Juicy J",2018-06-09,50
 Psycho,"Post Malone, feat. Ty Dolla $ign",2018-06-16,1
 Nice For What,Drake,2018-06-16,2
 I Like It,"Cardi B, Bad Bunny & J. Balvin",2018-06-16,3
 Girls Like You,"Maroon 5, ft. Cardi B",2018-06-16,4
 God's Plan,Drake,2018-06-16,5
 Boo'd Up,Ella Mai,2018-06-16,6
 This Is America,Childish Gambino,2018-06-16,7
 Yikes,Kanye West,2018-06-16,8
 Lucid Dreams,Juice WRLD,2018-06-16,9
The Middle,"Zedd, Maren Morris & Grey",2018-06-16,10
 All Mine,Kanye West,2018-06-16,11
 Meant To Be,"Bebe Rexha, & Florida Georgia Line",2018-06-16,12
 No Tears Left To Cry,Ariana Grande,2018-06-16,13
 Friends,"Marshmello, & Anne-Marie",2018-06-16,14
 Yes Indeed,"Lil Baby, & Drake",2018-06-16,15
 Ghost Town,"Kanye West, feat. PARTYNEXTDOOR",2018-06-16,16
 Walk It Talk It,"Migos, ft. Drake",2018-06-16,17
 Never Be The Same,Camila Cabello,2018-06-16,18
 Look Alive,"BlocBoy JB, ft. Drake",2018-06-16,19
 In My Blood,Shawn Mendes,2018-06-16,20
 Perfect,Ed Sheeran,2018-06-16,21
 Whatever It Takes,Imagine Dragons,2018-06-16,22
 Mine,Bazzi,2018-06-16,23
 Wouldn't Leave,"Kanye West, feat. PARTYNEXTDOOR",2018-06-16,24
 Be Careful,Cardi B,2018-06-16,25
 Wait,Maroon 5,2018-06-16,26
 Violent Crimes,Kanye West,2018-06-16,27
 I Thought About Killing You,Kanye West,2018-06-16,28
 Rockstar,"Post Malone, feat. 21 Savage",2018-06-16,29
 Heaven,Kane Brown,2018-06-16,30
 Back To You,Selena Gomez,2018-06-16,31
 I'm Upset,Drake,2018-06-16,32
 Havana,"Camila Cabello, ft. Young Thug",2018-06-16,33
 Better Now,Post Malone,2018-06-16,34
 Plug Walk,Rich The Kid,2018-06-16,35
 No Mistakes,Kanye West,2018-06-16,36
 Delicate,Taylor Swift,2018-06-16,37
 One Kiss,"Calvin Harris, & Dua Lipa",2018-06-16,38
 Freaky Friday,"Lil Dicky, ft. Chris Brown",2018-06-16,39
 New Rules,Dua Lipa,2018-06-16,40
 Tequila,Dan + Shay,2018-06-16,41
 Love Lies,"Khalid, & Normani",2018-06-16,42
 Te Bote,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",2018-06-16,43
 Pray For Me,"The Weeknd, & Kendrick Lamar",2018-06-16,44
 One Number Away,Luke Combs,2018-06-16,45
 Chun-Li,Nicki Minaj,2018-06-16,46
 TATI,"6ix9ine, feat. DJ Spinking",2018-06-16,47
 Fake Love,BTS,2018-06-16,48
 All Girls Are The Same,Juice WRLD,2018-06-16,49
 Finesse,"Bruno Mars, & Cardi B",2018-06-16,50
 Nice For What,Drake,2018-06-23,1
 Psycho,"Post Malone, feat. Ty Dolla $ign",2018-06-23,2
 I Like It,"Cardi B, Bad Bunny & J. Balvin",2018-06-23,3
 God's Plan,Drake,2018-06-23,4
 Girls Like You,"Maroon 5, ft. Cardi B",2018-06-23,5
 Lucid Dreams,Juice WRLD,2018-06-23,6
 Boo'd Up,Ella Mai,2018-06-23,7
The Middle,"Zedd, Maren Morris & Grey",2018-06-23,8
 No Tears Left To Cry,Ariana Grande,2018-06-23,9
 Meant To Be,"Bebe Rexha, & Florida Georgia Line",2018-06-23,10
 Yes Indeed,"Lil Baby, & Drake",2018-06-23,11
 This Is America,Childish Gambino,2018-06-23,12
 Friends,"Marshmello, & Anne-Marie",2018-06-23,13
 Walk It Talk It,"Migos, ft. Drake",2018-06-23,14
 Mine,Bazzi,2018-06-23,15
 In My Blood,Shawn Mendes,2018-06-23,16
 Perfect,Ed Sheeran,2018-06-23,17
 Look Alive,"BlocBoy JB, ft. Drake",2018-06-23,18
 Never Be The Same,Camila Cabello,2018-06-23,19
 Better Now,Post Malone,2018-06-23,20
 Whatever It Takes,Imagine Dragons,2018-06-23,21
 Back To You,Selena Gomez,2018-06-23,22
 Be Careful,Cardi B,2018-06-23,23
 Rockstar,"Post Malone, feat. 21 Savage",2018-06-23,24
 Delicate,Taylor Swift,2018-06-23,25
 Heaven,Kane Brown,2018-06-23,26
 Havana,"Camila Cabello, ft. Young Thug",2018-06-23,27
 I'm Upset,Drake,2018-06-23,28
 Wait,Maroon 5,2018-06-23,29
 One Kiss,"Calvin Harris, & Dua Lipa",2018-06-23,30
 All Mine,Kanye West,2018-06-23,31
 Tequila,Dan + Shay,2018-06-23,32
 Plug Walk,Rich The Kid,2018-06-23,33
 Love Lies,"Khalid, & Normani",2018-06-23,34
 New Rules,Dua Lipa,2018-06-23,35
 Te Bote,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",2018-06-23,36
 Freaky Friday,"Lil Dicky, ft. Chris Brown",2018-06-23,37
 Taste,"Tyga, feat. Offset",2018-06-23,38
 Reborn,Kids See Ghosts,2018-06-23,39
 Yikes,Kanye West,2018-06-23,40
 All Girls Are The Same,Juice WRLD,2018-06-23,41
 4th Dimension,"Kids See Ghosts, ft. Louis Prima",2018-06-23,42
 Chun-Li,Nicki Minaj,2018-06-23,43
 Pray For Me,"The Weeknd, & Kendrick Lamar",2018-06-23,44
 One Number Away,Luke Combs,2018-06-23,45
 I Like Me Better,Lauv,2018-06-23,46
 Feel The Love,Kids See Ghosts,2018-06-23,47
 Get Along,Kenny Chesney,2018-06-23,48
 Up Down,"Morgan Wallen, feat. Florida Georgia Line",2018-06-23,49
 TATI,"6ix9ine, feat. DJ Spinking",2018-06-23,50
 Sad!,XXXTentacion,2018-06-30,1
 I Like It,"Cardi B, Bad Bunny & J. Balvin",2018-06-30,2
 Nice For What,Drake,2018-06-30,3
 Lucid Dreams,Juice WRLD,2018-06-30,4
 Girls Like You,"Maroon 5, ft. Cardi B",2018-06-30,5
 Psycho,"Post Malone, feat. Ty Dolla $ign",2018-06-30,6
 Boo'd Up,Ella Mai,2018-06-30,7
 God's Plan,Drake,2018-06-30,8
 No Tears Left To Cry,Ariana Grande,2018-06-30,9
The Middle,"Zedd, Maren Morris & Grey",2018-06-30,10
 Meant To Be,"Bebe Rexha, & Florida Georgia Line",2018-06-30,11
 Yes Indeed,"Lil Baby, & Drake",2018-06-30,12
 Apes**t,The Carters,2018-06-30,13
 Friends,"Marshmello, & Anne-Marie",2018-06-30,14
 I'm Upset,Drake,2018-06-30,15
 Moonlight,XXXTentacion,2018-06-30,16
 This Is America,Childish Gambino,2018-06-30,17
 Changes,XXXTentacion,2018-06-30,18
 Jocelyn Flores,XXXTENTACION,2018-06-30,19
 Mine,Bazzi,2018-06-30,20
 Perfect,Ed Sheeran,2018-06-30,21
 In My Blood,Shawn Mendes,2018-06-30,22
 Better Now,Post Malone,2018-06-30,23
 Walk It Talk It,"Migos, ft. Drake",2018-06-30,24
 Look Alive,"BlocBoy JB, ft. Drake",2018-06-30,25
 Never Be The Same,Camila Cabello,2018-06-30,26
 Delicate,Taylor Swift,2018-06-30,27
 F**k Love,"XXXTENTACION, feat. Trippie Redd",2018-06-30,28
 Be Careful,Cardi B,2018-06-30,29
 Whatever It Takes,Imagine Dragons,2018-06-30,30
 Rockstar,"Post Malone, feat. 21 Savage",2018-06-30,31
 Plug Walk,Rich The Kid,2018-06-30,32
 Back To You,Selena Gomez,2018-06-30,33
 Tequila,Dan + Shay,2018-06-30,34
 Heaven,Kane Brown,2018-06-30,35
 Love Lies,"Khalid, & Normani",2018-06-30,36
 One Kiss,"Calvin Harris, & Dua Lipa",2018-06-30,37
 Taste,"Tyga, feat. Offset",2018-06-30,38
 Havana,"Camila Cabello, ft. Young Thug",2018-06-30,39
 Te Bote,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",2018-06-30,40
 New Rules,Dua Lipa,2018-06-30,41
 Everybody Dies In Their Nightmares,XXXTENTACION,2018-06-30,42
 Bed,"Nicki Minaj, ft. Ariana Grande",2018-06-30,43
 Wait,Maroon 5,2018-06-30,44
 All Girls Are The Same,Juice WRLD,2018-06-30,45
 Freaky Friday,"Lil Dicky, ft. Chris Brown",2018-06-30,46
 I Like Me Better,Lauv,2018-06-30,47
 All Mine,Kanye West,2018-06-30,48
 Youngblood,5 Seconds Of Summer,2018-06-30,49
 Get Along,Kenny Chesney,2018-06-30,50
 I Like It,"Cardi B, Bad Bunny & J. Balvin",2018-07-07,1
 Sad!,XXXTentacion,2018-07-07,2
 Lucid Dreams,Juice WRLD,2018-07-07,3
 Girls Like You,"Maroon 5, ft. Cardi B",2018-07-07,4
 Psycho,"Post Malone, feat. Ty Dolla $ign",2018-07-07,5
 Nice For What,Drake,2018-07-07,6
 Boo'd Up,Ella Mai,2018-07-07,7
 No Tears Left To Cry,Ariana Grande,2018-07-07,8
 God's Plan,Drake,2018-07-07,9
 Meant To Be,"Bebe Rexha, & Florida Georgia Line",2018-07-07,10
 Yes Indeed,"Lil Baby, & Drake",2018-07-07,11
The Middle,"Zedd, Maren Morris & Grey",2018-07-07,12
 Moonlight,XXXTentacion,2018-07-07,13
 Better Now,Post Malone,2018-07-07,14
 Plug Walk,Rich The Kid,2018-07-07,15
 Mine,Bazzi,2018-07-07,16
 Perfect,Ed Sheeran,2018-07-07,17
 Changes,XXXTentacion,2018-07-07,18
 Apes**t,The Carters,2018-07-07,19
 Delicate,Taylor Swift,2018-07-07,20
 Tequila,Dan + Shay,2018-07-07,21
 Friends,"Marshmello, & Anne-Marie",2018-07-07,22
 In My Blood,Shawn Mendes,2018-07-07,23
 This Is America,Childish Gambino,2018-07-07,24
 Jocelyn Flores,XXXTENTACION,2018-07-07,25
 I'm Upset,Drake,2018-07-07,26
 Look Alive,"BlocBoy JB, ft. Drake",2018-07-07,27
 Never Be The Same,Camila Cabello,2018-07-07,28
 Walk It Talk It,"Migos, ft. Drake",2018-07-07,29
 Taste,"Tyga, feat. Offset",2018-07-07,30
 Whatever It Takes,Imagine Dragons,2018-07-07,31
 Be Careful,Cardi B,2018-07-07,32
 Rockstar,"Post Malone, feat. 21 Savage",2018-07-07,33
 F**k Love,"XXXTENTACION, feat. Trippie Redd",2018-07-07,34
 Back To You,Selena Gomez,2018-07-07,35
 One Kiss,"Calvin Harris, & Dua Lipa",2018-07-07,36
 Love Lies,"Khalid, & Normani",2018-07-07,37
 Heaven,Kane Brown,2018-07-07,38
 Havana,"Camila Cabello, ft. Young Thug",2018-07-07,39
 New Rules,Dua Lipa,2018-07-07,40
 I Like Me Better,Lauv,2018-07-07,41
 All Girls Are The Same,Juice WRLD,2018-07-07,42
 Te Bote,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",2018-07-07,43
 Get Along,Kenny Chesney,2018-07-07,44
 Simple,Florida Georgia Line,2018-07-07,45
 Everybody Dies In Their Nightmares,XXXTENTACION,2018-07-07,46
 Freaky Friday,"Lil Dicky, ft. Chris Brown",2018-07-07,47
 Mercy,Brett Young,2018-07-07,48
 One Number Away,Luke Combs,2018-07-07,49
 Wait,Maroon 5,2018-07-07,50
 Nice For What,Drake,2018-07-14,1
 Nonstop,Drake,2018-07-14,2
 I Like It,"Cardi B, Bad Bunny & J. Balvin",2018-07-14,3
 God's Plan,Drake,2018-07-14,4
 Girls Like You,"Maroon 5, ft. Cardi B",2018-07-14,5
 In My Feelings,Drake,2018-07-14,6
 I'm Upset,Drake,2018-07-14,7
 Emotionless,Drake,2018-07-14,8
 Don't Matter To Me,"Drake, ft. Michael Jackson",2018-07-14,9
 Sad!,XXXTentacion,2018-07-14,10
 Boo'd Up,Ella Mai,2018-07-14,11
 Psycho,"Post Malone, feat. Ty Dolla $ign",2018-07-14,12
 Mob Ties,Drake,2018-07-14,13
 Elevate,Drake,2018-07-14,14
 No Tears Left To Cry,Ariana Grande,2018-07-14,15
 Lucid Dreams,Juice WRLD,2018-07-14,16
 Survival,Drake,2018-07-14,17
 Can't Take A Joke,Drake,2018-07-14,18
The Middle,"Zedd, Maren Morris & Grey",2018-07-14,19
 Talk Up,"Drake, ft. Jay-Z",2018-07-14,20
 8 Out Of 10,Drake,2018-07-14,21
 Meant To Be,"Bebe Rexha, & Florida Georgia Line",2018-07-14,22
 Delicate,Taylor Swift,2018-07-14,23
 Better Now,Post Malone,2018-07-14,24
 Mine,Bazzi,2018-07-14,25
 Yes Indeed,"Lil Baby, & Drake",2018-07-14,26
 Sandra's Rose,Drake,2018-07-14,27
 Summer Games,Drake,2018-07-14,28
 Perfect,Ed Sheeran,2018-07-14,29
 Blue Tint,Drake,2018-07-14,30
 In My Blood,Shawn Mendes,2018-07-14,31
 Jaded,Drake,2018-07-14,32
 Friends,"Marshmello, & Anne-Marie",2018-07-14,33
 Tequila,Dan + Shay,2018-07-14,34
 Never Be The Same,Camila Cabello,2018-07-14,35
 Is There More,Drake,2018-07-14,36
 That's How You Feel,Drake,2018-07-14,37
 Peak,Drake,2018-07-14,38
 Taste,"Tyga, feat. Offset",2018-07-14,39
 Whatever It Takes,Imagine Dragons,2018-07-14,40
 After Dark,"Drake, ft. Static Major & Ty Dolla $ign",2018-07-14,41
 Finesse,Drake,2018-07-14,42
 Apes**t,The Carters,2018-07-14,43
 Look Alive,"BlocBoy JB, ft. Drake",2018-07-14,44
 One Kiss,"Calvin Harris, & Dua Lipa",2018-07-14,45
 Love Lies,"Khalid, & Normani",2018-07-14,46
 Moonlight,XXXTentacion,2018-07-14,47
 Be Careful,Cardi B,2018-07-14,48
 Back To You,Selena Gomez,2018-07-14,49
 This Is America,Childish Gambino,2018-07-14,50
 In My Feelings,Drake,2018-07-21,1
 I Like It,"Cardi B, Bad Bunny & J. Balvin",2018-07-21,2
 Girls Like You,"Maroon 5, ft. Cardi B",2018-07-21,3
 Nice For What,Drake,2018-07-21,4
 Boo'd Up,Ella Mai,2018-07-21,5
 God's Plan,Drake,2018-07-21,6
 Lucid Dreams,Juice WRLD,2018-07-21,7
 No Tears Left To Cry,Ariana Grande,2018-07-21,8
 Psycho,"Post Malone, feat. Ty Dolla $ign",2018-07-21,9
 Sad!,XXXTentacion,2018-07-21,10
 Nonstop,Drake,2018-07-21,11
 Better Now,Post Malone,2018-07-21,12
The Middle,"Zedd, Maren Morris & Grey",2018-07-21,13
 Meant To Be,"Bebe Rexha, & Florida Georgia Line",2018-07-21,14
 Delicate,Taylor Swift,2018-07-21,15
 I'm Upset,Drake,2018-07-21,16
 Yes Indeed,"Lil Baby, & Drake",2018-07-21,17
 Taste,"Tyga, feat. Offset",2018-07-21,18
 Mine,Bazzi,2018-07-21,19
 Friends,"Marshmello, & Anne-Marie",2018-07-21,20
 Don't Matter To Me,"Drake, ft. Michael Jackson",2018-07-21,21
 Perfect,Ed Sheeran,2018-07-21,22
 In My Blood,Shawn Mendes,2018-07-21,23
 Tequila,Dan + Shay,2018-07-21,24
 Love Lies,"Khalid, & Normani",2018-07-21,25
 Never Be The Same,Camila Cabello,2018-07-21,26
 Whatever It Takes,Imagine Dragons,2018-07-21,27
 Mob Ties,Drake,2018-07-21,28
 One Kiss,"Calvin Harris, & Dua Lipa",2018-07-21,29
 Apes**t,The Carters,2018-07-21,30
 Back To You,Selena Gomez,2018-07-21,31
 Look Alive,"BlocBoy JB, ft. Drake",2018-07-21,32
 I Like Me Better,Lauv,2018-07-21,33
 Moonlight,XXXTentacion,2018-07-21,34
 Get Along,Kenny Chesney,2018-07-21,35
 Be Careful,Cardi B,2018-07-21,36
 Simple,Florida Georgia Line,2018-07-21,37
 Emotionless,Drake,2018-07-21,38
 This Is America,Childish Gambino,2018-07-21,39
 Youngblood,5 Seconds Of Summer,2018-07-21,40
 Mercy,Brett Young,2018-07-21,41
 Sit Next To Me,Foster The People,2018-07-21,42
 Te Bote,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",2018-07-21,43
 Elevate,Drake,2018-07-21,44
 Can't Take A Joke,Drake,2018-07-21,45
 Big Bank,"YG, feat. 2 Chainz, Big Sean & Nicki Minaj",2018-07-21,46
 Changes,XXXTentacion,2018-07-21,47
 Bed,"Nicki Minaj, ft. Ariana Grande",2018-07-21,48
 One Number Away,Luke Combs,2018-07-21,49
 I Was Jack (You Were Diane),Jake Owen,2018-07-21,50
 In My Feelings,Drake,2018-07-28,1
 I Like It,"Cardi B, Bad Bunny & J. Balvin",2018-07-28,2
 Girls Like You,"Maroon 5, ft. Cardi B",2018-07-28,3
 Nice For What,Drake,2018-07-28,4
 Boo'd Up,Ella Mai,2018-07-28,5
 Lucid Dreams,Juice WRLD,2018-07-28,6
 Better Now,Post Malone,2018-07-28,7
 No Tears Left To Cry,Ariana Grande,2018-07-28,8
 Psycho,"Post Malone, feat. Ty Dolla $ign",2018-07-28,9
 God's Plan,Drake,2018-07-28,10
 God Is A Woman,Ariana Grande,2018-07-28,11
 Delicate,Taylor Swift,2018-07-28,12
 Taste,"Tyga, feat. Offset",2018-07-28,13
The Middle,"Zedd, Maren Morris & Grey",2018-07-28,14
 Sad!,XXXTentacion,2018-07-28,15
 Yes Indeed,"Lil Baby, & Drake",2018-07-28,16
 Meant To Be,"Bebe Rexha, & Florida Georgia Line",2018-07-28,17
 Friends,"Marshmello, & Anne-Marie",2018-07-28,18
 Perfect,Ed Sheeran,2018-07-28,19
 Nonstop,Drake,2018-07-28,20
 Love Lies,"Khalid, & Normani",2018-07-28,21
 Mine,Bazzi,2018-07-28,22
 In My Blood,Shawn Mendes,2018-07-28,23
 I'm Upset,Drake,2018-07-28,24
 Tequila,Dan + Shay,2018-07-28,25
 One Kiss,"Calvin Harris, & Dua Lipa",2018-07-28,26
 Back To You,Selena Gomez,2018-07-28,27
 Apes**t,The Carters,2018-07-28,28
 I Like Me Better,Lauv,2018-07-28,29
 Never Be The Same,Camila Cabello,2018-07-28,30
 Get Along,Kenny Chesney,2018-07-28,31
 Youngblood,5 Seconds Of Summer,2018-07-28,32
 Don't Matter To Me,"Drake, ft. Michael Jackson",2018-07-28,33
 Whatever It Takes,Imagine Dragons,2018-07-28,34
 Look Alive,"BlocBoy JB, ft. Drake",2018-07-28,35
 Simple,Florida Georgia Line,2018-07-28,36
 Moonlight,XXXTentacion,2018-07-28,37
 Mercy,Brett Young,2018-07-28,38
 Big Bank,"YG, feat. 2 Chainz, Big Sean & Nicki Minaj",2018-07-28,39
 This Is America,Childish Gambino,2018-07-28,40
 Be Careful,Cardi B,2018-07-28,41
 Te Bote,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",2018-07-28,42
 Mob Ties,Drake,2018-07-28,43
 Summertime Magic,Childish Gambino,2018-07-28,44
 I Was Jack (You Were Diane),Jake Owen,2018-07-28,45
 Sit Next To Me,Foster The People,2018-07-28,46
 X,"Nicky Jam, x J Balvin",2018-07-28,47
 Drowns The Whiskey,"Jason Aldean, ft. Miranda Lambert",2018-07-28,48
 One Number Away,Luke Combs,2018-07-28,49
 Jumpsuit,twenty one pilots,2018-07-28,50
 In My Feelings,Drake,2018-08-04,1
 I Like It,"Cardi B, Bad Bunny & J. Balvin",2018-08-04,2
 Girls Like You,"Maroon 5, ft. Cardi B",2018-08-04,3
 FeFe,"6ix9ine, feat. Nicki Minaj & Murda Beatz",2018-08-04,4
 Better Now,Post Malone,2018-08-04,5
 Nice For What,Drake,2018-08-04,6
 Boo'd Up,Ella Mai,2018-08-04,7
 Lucid Dreams,Juice WRLD,2018-08-04,8
 Psycho,"Post Malone, feat. Ty Dolla $ign",2018-08-04,9
 Taste,"Tyga, feat. Offset",2018-08-04,10
 No Tears Left To Cry,Ariana Grande,2018-08-04,11
 Delicate,Taylor Swift,2018-08-04,12
 God's Plan,Drake,2018-08-04,13
 Yes Indeed,"Lil Baby, & Drake",2018-08-04,14
The Middle,"Zedd, Maren Morris & Grey",2018-08-04,15
 Friends,"Marshmello, & Anne-Marie",2018-08-04,16
 Perfect,Ed Sheeran,2018-08-04,17
 Love Lies,"Khalid, & Normani",2018-08-04,18
 Sad!,XXXTentacion,2018-08-04,19
 Meant To Be,"Bebe Rexha, & Florida Georgia Line",2018-08-04,20
 God Is A Woman,Ariana Grande,2018-08-04,21
 Mine,Bazzi,2018-08-04,22
 In My Blood,Shawn Mendes,2018-08-04,23
 Tequila,Dan + Shay,2018-08-04,24
 Youngblood,5 Seconds Of Summer,2018-08-04,25
 Back To You,Selena Gomez,2018-08-04,26
 One Kiss,"Calvin Harris, & Dua Lipa",2018-08-04,27
 Big Bank,"YG, feat. 2 Chainz, Big Sean & Nicki Minaj",2018-08-04,28
 Nonstop,Drake,2018-08-04,29
 Apes**t,The Carters,2018-08-04,30
 I Like Me Better,Lauv,2018-08-04,31
 Never Be The Same,Camila Cabello,2018-08-04,32
 Mercy,Brett Young,2018-08-04,33
 Whatever It Takes,Imagine Dragons,2018-08-04,34
 Get Along,Kenny Chesney,2018-08-04,35
 Simple,Florida Georgia Line,2018-08-04,36
 Natural,Imagine Dragons,2018-08-04,37
 I'm Upset,Drake,2018-08-04,38
 Moonlight,XXXTentacion,2018-08-04,39
 Look Alive,"BlocBoy JB, ft. Drake",2018-08-04,40
 Te Bote,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",2018-08-04,41
 Drowns The Whiskey,"Jason Aldean, ft. Miranda Lambert",2018-08-04,42
 I Was Jack (You Were Diane),Jake Owen,2018-08-04,43
 Sit Next To Me,Foster The People,2018-08-04,44
 This Is America,Childish Gambino,2018-08-04,45
 Be Careful,Cardi B,2018-08-04,46
 X,"Nicky Jam, x J Balvin",2018-08-04,47
 One Number Away,Luke Combs,2018-08-04,48
 Life Changes,Thomas Rhett,2018-08-04,49
 Coming Home,"Keith Urban, ft. Julia Michaels",2018-08-04,50
 In My Feelings,Drake,2018-08-11,1
 I Like It,"Cardi B, Bad Bunny & J. Balvin",2018-08-11,2
 FeFe,"6ix9ine, feat. Nicki Minaj & Murda Beatz",2018-08-11,3
 Girls Like You,"Maroon 5, ft. Cardi B",2018-08-11,4
 No Brainer,"DJ Khaled, ft. Justin Bieber, Chance The Rapper & Quavo",2018-08-11,5
 Better Now,Post Malone,2018-08-11,6
 Lucid Dreams,Juice WRLD,2018-08-11,7
 Boo'd Up,Ella Mai,2018-08-11,8
 Taste,"Tyga, feat. Offset",2018-08-11,9
 Nice For What,Drake,2018-08-11,10
 Psycho,"Post Malone, feat. Ty Dolla $ign",2018-08-11,11
 No Tears Left To Cry,Ariana Grande,2018-08-11,12
 Delicate,Taylor Swift,2018-08-11,13
 Yes Indeed,"Lil Baby, & Drake",2018-08-11,14
 Love Lies,"Khalid, & Normani",2018-08-11,15
 God's Plan,Drake,2018-08-11,16
The Middle,"Zedd, Maren Morris & Grey",2018-08-11,17
 Perfect,Ed Sheeran,2018-08-11,18
 Meant To Be,"Bebe Rexha, & Florida Georgia Line",2018-08-11,19
 Friends,"Marshmello, & Anne-Marie",2018-08-11,20
 Sad!,XXXTentacion,2018-08-11,21
 Get Along,Kenny Chesney,2018-08-11,22
 Youngblood,5 Seconds Of Summer,2018-08-11,23
 Mine,Bazzi,2018-08-11,24
